date,serial_number,model,failure,smart_7_raw,smart_9_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_7_norm,smart_9_norm,smart_240_norm,smart_241_norm,smart_242_norm
2020-03-15,S300VLG3,ST4000DM000,0,528313814238.0,40867.0,40681.0,62130717008.0,133746502377.0,-1.642732208493777,-1.693239449671764,-1.6939554206877332,-1.872727844363706,-1.7435434831992378
2020-03-16,S300VLG3,ST4000DM000,0,545494919017.0,40891.0,40705.0,62144213224.0,133780533105.0,-1.5939334223849437,-1.6368443601659064,-1.637555731440574,-1.8242963724803363,-1.6847648715280874
2020-03-17,S300VLG3,ST4000DM000,0,562675871423.0,40915.0,40730.0,62151474176.0,133810635169.0,-1.5451350690548826,-1.5804492706600488,-1.5788060551414496,-1.7982402844157632,-1.632771933546975
2020-03-18,S300VLG3,ST4000DM000,0,601331882906.0,40940.0,40754.0,62168895320.0,133846819040.0,-1.4353419876178157,-1.521704385758114,-1.5224063658942903,-1.7357241209361525,-1.5702743665755017
2020-03-19,S300VLG3,ST4000DM000,0,609923043824.0,40964.0,40778.0,62218018992.0,133893859978.0,-1.4109408661848986,-1.4653092962522565,-1.4660066766471311,-1.5594427292278477,-1.4890242379462035
2020-03-20,S300VLG3,ST4000DM000,0,614219215778.0,40988.0,40802.0,62256710856.0,133938441572.0,-1.39873862546949,-1.408914206746399,-1.4096069873999717,-1.420596113003628,-1.4120219416272157
2020-03-21,S300VLG3,ST4000DM000,0,635695284093.0,41012.0,40827.0,62274092752.0,133974790546.0,-1.3377410308652518,-1.3525191172405413,-1.3508573111008475,-1.3582207918466709,-1.3492392051723643
2020-03-22,S300VLG3,ST4000DM000,0,652876335472.0,41037.0,40851.0,62287587328.0,134017209414.0,-1.2889423964262448,-1.2937742323386063,-1.2944576218536883,-1.309795205139849,-1.275972416119195
2020-03-23,S300VLG3,ST4000DM000,0,670056963035.0,41064.0,40878.0,62295278592.0,134047539315.0,-1.2401449657344121,-1.2303297566445166,-1.2310079714506341,-1.282194932873639,-1.2235859531289401
2020-03-24,S300VLG3,ST4000DM000,0,674353137779.0,41087.0,40902.0,62319160296.0,134081555816.0,-1.227942717094681,-1.1762844625347366,-1.1746082822034747,-1.19649490585844,-1.1648319146408332
2020-03-25,S300VLG3,ST4000DM000,0,704419341380.0,41112.0,40926.0,62334831640.0,134114801400.0,-1.1425469141179627,-1.1175395776328017,-1.1182085929563155,-1.1402579386736662,-1.107409420719557
2020-03-26,S300VLG3,ST4000DM000,0,734485454971.0,41136.0,40950.0,62355828176.0,134150349612.0,-1.0571513667929497,-1.061144488126944,-1.0618089037091563,-1.0649114013233327,-1.0460097777629997
2020-03-27,S300VLG3,ST4000DM000,0,743076397055.0,41160.0,40974.0,62369947200.0,134181247999.0,-1.0327508669052532,-1.0047493986210865,-1.0054092144619968,-1.0142449690524928,-0.9926414134206937
2020-03-28,S300VLG3,ST4000DM000,0,777436966881.0,41186.0,41000.0,62379176448.0,134208620826.0,-0.9351579519510262,-0.9436547183230742,-0.9443095511109076,-0.9811256069278316,-0.945362472794605
2020-03-29,S300VLG3,ST4000DM000,0,786027991745.0,41210.0,41025.0,62389292656.0,134241926871.0,-0.9107572169466962,-0.8872596288172167,-0.8855598748117834,-0.9448233690769908,-0.8878355493224754
2020-03-30,S300VLG3,ST4000DM000,0,824683917682.0,41234.0,41049.0,62417738672.0,134275730792.0,-0.8009643784824189,-0.8308645393113592,-0.8291601855646241,-0.8427442067326795,-0.8294486836221225
2020-03-31,S300VLG3,ST4000DM000,0,854749682634.0,41259.0,41073.0,62446703520.0,134301762672.0,-0.7155698213824356,-0.7721196544094242,-0.7727604963174648,-0.7388032041940357,-0.7844858557452113
2020-04-01,S300VLG3,ST4000DM000,0,863339974026.0,41271.0,41085.0,62458570208.0,134313064838.0,-0.6911711696284965,-0.7439221096564954,-0.7445606516938852,-0.6962193298532038,-0.7649645094385182
2020-04-02,S300VLG3,ST4000DM000,0,884815874281.0,41295.0,41109.0,62482755656.0,134343931382.0,-0.6301740523581725,-0.6875270201506379,-0.6881609624467259,-0.6094293107249751,-0.7116511450166207
2020-04-03,S300VLG3,ST4000DM000,0,889111961431.0,41319.0,41133.0,62500987520.0,134385677866.0,-0.6179720525080813,-0.6311319306447803,-0.6317612731995667,-0.544003860458217,-0.639545712195087
2020-04-04,S300VLG3,ST4000DM000,0,910588058737.0,41343.0,41157.0,62513813280.0,134425397098.0,-0.5569743755618969,-0.5747368411389228,-0.5753615839524073,-0.4979783348721674,-0.5709417930075715
2020-04-05,S300VLG3,ST4000DM000,0,919179110228.0,41367.0,41181.0,62523182064.0,134463118023.0,-0.5325735649299926,-0.5183417516330653,-0.518961894705248,-0.4643582447019029,-0.5057893930221354
2020-04-06,S300VLG3,ST4000DM000,0,932064805127.0,41391.0,41205.0,62532737288.0,134492582105.0,-0.49597485504909133,-0.46194666212720775,-0.4625622054580888,-0.43006911043676505,-0.4548983913919344
2020-04-07,S300VLG3,ST4000DM000,0,940655700328.0,41415.0,41229.0,62551291184.0,134525813506.0,-0.47157448832125376,-0.40555157262135016,-0.40616251621092947,-0.3634880411614237,-0.3975003946559471
2020-04-08,S300VLG3,ST4000DM000,0,979311714092.0,41439.0,41254.0,62577828464.0,134557146566.0,-0.3617814004055562,-0.34915648311549263,-0.3474128399118052,-0.2682584204898876,-0.34338125367815636
2020-04-09,S300VLG3,ST4000DM000,0,996492438086.0,41464.0,41278.0,62600471880.0,134587174211.0,-0.31298369582471564,-0.2904115982135577,-0.29101315066464595,-0.1870020175583214,-0.2915168538083048
2020-04-10,S300VLG3,ST4000DM000,0,1005083472657.0,41488.0,41302.0,62619936896.0,134630788700.0,-0.28858293324999235,-0.2340165087077002,-0.23461346141748665,-0.11715137385838754,-0.21618496222588987
2020-04-11,S300VLG3,ST4000DM000,0,1009379510253.0,41512.0,41326.0,62633372928.0,134671461607.0,-0.27638107414609175,-0.17762141920184263,-0.17821377217032736,-0.06893587360023673,-0.14593383488915446
2020-04-12,S300VLG3,ST4000DM000,0,1035150537964.0,41536.0,41350.0,62649742936.0,134708368045.0,-0.20318468280512086,-0.1212263296959851,-0.12181408292316809,-0.01019173508151847,-0.08218823451976533
2020-04-13,S300VLG3,ST4000DM000,0,1048036259325.0,41564.0,41378.0,62659047040.0,134736040753.0,-0.16658589776528804,-0.05543205860581797,-0.05601444546814892,0.023196249467332123,-0.03439133292479705
2020-04-14,S300VLG3,ST4000DM000,0,1060922185487.0,41588.0,41403.0,62667975544.0,134771455944.0,-0.12998653103758806,0.0009630309000395681,0.002735230830975341,0.05523638504581993,0.026778553274775685
2020-04-15,S300VLG3,ST4000DM000,0,1121052867623.0,41612.0,41427.0,62682707120.0,134802136794.0,0.04080017528175402,0.057358120405897106,0.059134920078134624,0.10810097381957162,0.0797711829913897
2020-04-16,S300VLG3,ST4000DM000,0,1142528313606.0,41636.0,41450.0,62698052144.0,134824108510.0,0.10179600230197779,0.11375320991175465,0.11318462227332894,0.16316693441220273,0.11772120752547541
2020-04-17,S300VLG3,ST4000DM000,0,1159709304280.0,41660.0,41475.0,62720438744.0,134859807656.0,0.15059446432306717,0.1701482994176122,0.1719342985724532,0.24350174740454447,0.1793815469612258
2020-04-18,S300VLG3,ST4000DM000,0,1176890305686.0,41685.0,41499.0,62740471944.0,134901580709.0,0.19939295682581526,0.2288931843195471,0.22833398781961248,0.31539133205063546,0.2515328703359528
2020-04-19,S300VLG3,ST4000DM000,0,1185481323672.0,41709.0,41524.0,62766234024.0,134949062348.0,0.22379367229484437,0.28528827382540467,0.28708366411873676,0.4078391302465985,0.3335441872931081
2020-04-20,S300VLG3,ST4000DM000,0,1224137152469.0,41733.0,41548.0,62796424432.0,134979796856.0,0.33358623485637023,0.3416833633312622,0.343483353365896,0.516178082157228,0.3866294962713897
2020-04-21,S300VLG3,ST4000DM000,0,1232727998502.0,41758.0,41572.0,62813015800.0,135006651374.0,0.35798646193435724,0.4004282482331971,0.3998830426130553,0.5757165759690227,0.4330132023483773
2020-04-22,S300VLG3,ST4000DM000,0,1258498660627.0,41782.0,41596.0,62828849624.0,135032921615.0,0.4311818149164305,0.45682333773905465,0.4562827318602146,0.6325366062547138,0.4783877325155406
2020-04-23,S300VLG3,ST4000DM000,0,1275679598627.0,41806.0,41621.0,62844934048.0,135071951708.0,0.4799801273297215,0.5132184272449122,0.5150324081593388,0.6902559202251037,0.5458013558719342
2020-04-24,S300VLG3,ST4000DM000,0,1310040396324.0,41830.0,41645.0,62855089864.0,135105769168.0,0.577573689496589,0.5696135167507698,0.5714320974064981,0.7267002922666211,0.6042116064268049
2020-04-25,S300VLG3,ST4000DM000,0,1314336566307.0,41854.0,41669.0,62863972664.0,135137520341.0,0.5897759246138473,0.6260086062566272,0.6278317866536575,0.7585764180225811,0.6590529212488243
2020-04-26,S300VLG3,ST4000DM000,0,1357287144424.0,41879.0,41693.0,62872747088.0,135167452853.0,0.711766687241873,0.6847534911585622,0.6842314759008167,0.7900636340873481,0.7107530053372412
2020-04-27,S300VLG3,ST4000DM000,0,1357287474367.0,41891.0,41705.0,62875306672.0,135178940746.0,0.7117676243654218,0.712951035911491,0.7124313205243964,0.7992487583124734,0.7305951433475337
2020-04-28,S300VLG3,ST4000DM000,0,1378763338564.0,41915.0,41729.0,62882340880.0,135208621253.0,0.7727646392216897,0.7693461254173485,0.7688310097715556,0.8244911704799859,0.7818599589329027
2020-04-29,S300VLG3,ST4000DM000,0,1430303994312.0,41940.0,41754.0,62895140872.0,135232405141.0,0.9191534464670675,0.8280910103192834,0.8275806860706799,0.8704242270237876,0.8229400062590172
2020-04-30,S300VLG3,ST4000DM000,0,1460369633101.0,41965.0,41779.0,62910299752.0,135262285086.0,1.0045476452314646,0.8868358952212184,0.8863303623698041,0.9248222057241418,0.8745492954846349
2020-05-01,S300VLG3,ST4000DM000,0,1473255677503.0,41989.0,41803.0,62923808144.0,135293406095.0,1.0411473477913793,0.9432309847270759,0.9427300516169634,0.9732973714548577,0.928302177374948
2020-05-02,S300VLG3,ST4000DM000,0,1490437636685.0,42027.0,41841.0,62939249688.0,135346023267.0,1.0899485606259551,1.032523209778017,1.0320295595916322,1.028709696218467,1.0191836983410032
2020-05-03,S300VLG3,ST4000DM000,0,1503323275160.0,42052.0,41866.0,62945346472.0,135384463202.0,1.126547110248087,1.091268094679952,1.0907792358907566,1.0505881414711942,1.0855779879967888
2020-05-04,S300VLG3,ST4000DM000,0,1520504215446.0,42076.0,41890.0,62949404208.0,135421649334.0,1.1753454291542098,1.1476631841858096,1.1471789251379159,1.0651494175351026,1.1498066819107164
2020-05-05,S300VLG3,ST4000DM000,0,1559160175175.0,42101.0,41915.0,62968606344.0,135450973222.0,1.2851383635965168,1.2064080690877446,1.20592860143704,1.134056710496674,1.2004555374227204
2020-05-06,S300VLG3,ST4000DM000,0,1580635268061.0,42113.0,41927.0,62972631128.0,135460253576.0,1.3461331877298366,1.2346056138406731,1.2341284460606197,1.1484997375742367,1.2164847661814118
2020-05-07,S300VLG3,ST4000DM000,0,1589226128308.0,42137.0,41951.0,62986695904.0,135494546337.0,1.3705334551792638,1.2910007033465307,1.290528135307779,1.198971499688143,1.2757159669347593
2020-05-08,S300VLG3,ST4000DM000,0,1589227257325.0,42161.0,41975.0,63001541328.0,135531156941.0,1.3705366618798691,1.3473957928523883,1.3469278245549383,1.252244634547033,1.3389505964014652
2020-05-09,S300VLG3,ST4000DM000,0,1597818462278.0,42185.0,41999.0,63012514744.0,135564793995.0,1.3949379083835878,1.403790882358246,1.4033275138020975,1.2916229824090204,1.3970492457993715
